subj,session,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,13,3022.22012828,0.29779116,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,14,3578.36061576,-2.32142653,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,15,4217.59458808,3.49146304,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,16,4952.33712269,-4.11796868,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,17,5796.8582457,1.79701983,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,18,6767.56008152,3.79088747,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,19,7883.29541175,-2.90248152,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,20,9165.73383021,-1.43520103,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,21,10639.78260555,-1.84596259,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,22,12334.07042541,-3.82890127,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,23,14281.50341712,-0.62188447,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,24,16519.90424416,-4.28276341,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,25,19092.74669051,-0.26310594,False,5.748
2,1,0,0,f,23,2022-04-27 12:14:36.560621,practice/neutre_2_flat.0816.eq.wav,1,26,22050.0,-1.30981383,False,5.748
2,1,1,0,f,23,2022-04-27 12:14:36.560621,practice/M_n_cut_smile_controls.wav,0,0,100.0,-0.8413748087013819,True,1.09
